,hotel,commentaire,note
0,Appi Hotel, appi hôtel éviter absolument chambre faite 6 heures soir après être partis toute journée explication personnel « fallait préciser chambre devait être faite »pas service petits déjeuner rien accrocher serviettes bain verre brosses dents manque cintres malgré demande tout 90€ c’est surréaliste déconseiller sauf pire ennemi jl maurin séjour 19 21 octobre 2018,1
1,Appi Hotel, horrible jamais mettre piedsa banir durgence chambre sales fenetre cassée ferme donnant rue principale donc obligé dormir fenetre ouverte un10 octobre responsable trouve ca normal nest present durant journee donc non visible chambre a 130€ nuit hors taxes sans restaurant ni petit déjeuner imeuble insalubre douche toilette palier chambres communes 5 eme étage sans asseceur escaliers pourri chambre non refaite journee fier photos car ny a reception renovée encore pourrez voir photos car oui jen prises aucun remboursement ni geste commercial seulement si reviens a banir durgence parle filles,1
2,Appi Hotel, hotel bruyant miteux quil faut fuir douche wc communs tout lhôtel difficile trouver prendre quen dernier recourt seul point positif lit propre trop dur télé capte 4 chaînes,1
3,Appi Hotel, j’ai réservé plus 4 mois l’avance lorsque j’arrive après trajet 5 heures voitures 3 enfants dit l’hôtel complet plus hôtel miteux sale petit sombre a éviter vraiment a moins d’être suicidaire,1
4,Appi Hotel, hôtel dont chambres confortables agréables cet établissement bien situé accessible cest hôtel pratique possède style art déco luminosité chambres idéale,0
5,Appi Hotel, hôtel travaux aucune règles sécurité chambre limite insalubre literie sale douteuse mauvaises odeurs canalisations chambre parquets vieux sales parties communes très sales sols murs tachés crasseux cet établissement n’est tout recommandable éviter absolument,1
6,Appi Hotel, jai payé via booking 70 euros nuit cet hôtel lhôtel comment dire horrible chambres extrêmement sales poussiéreuses a sale odeur javelle empeste petites bestioles chambre traces suspectes murs ya til employés ménage ici jen doute sincèrement jétais 7ème étage sans ascenseur tonnes bagage monter seule toilettes douches partager mont tout inspirée confiance jai préféré aller cette chambre absolument hors prix cest cest pure arnaque honte proposer telle horreur prix fuyez tout prix si voulez retrouver allergies démangeaisons tout corps,1
7,Appi Hotel, quelle expérience voulais donner trop dargent dormir là ny allez faire grâce matinée car nespérez quune chose sortir chambre aller visiter cest vraiment lendroit dormir prendre douche attention personnes forte corpulence sabstenir car douches doivent avoir receveur 6060 maxi 7070le rideau plastique wc face faut être organisé positifs quartier vivant bien situé cétait rigolo peu moins compagnon désespéré voulait dabord voir chambre avant dy aller pourtant cest hôtel où navez touristes entend beaucoup parler français bon,1
8,Appi Hotel, hôtel situé plein milieu rue saint denis malgré emplacement pourrait être atout l’hôtel éviter chambre humide sent renfermé tabac fissure murs parquet flottant cassé abîmé endroit sol murs poisseux papier toilette wc comble c’est fenêtre totalement cassée ferme donc d’isolation sans parler bruit bar d’en face jusqu’à 04h bref très mauvaise expérience passez chemin devant cette adresse,1
9,Appi Hotel, wc douche collectif étroite3m² palier hygiène top évier chambre bouchéodeur vieux tabac odeur renfermé chambrenuit assez bruyante murs trop fin entendait clients chambres voisines comme si cela jusquà 2 3 matinvers 4 heure matin personne a essayer douvrir porte chambre service petit déjeuner + personnel accueillant lit propre confortableprésence tv possibilité fermer lintérieurwifi disponible gratuitement ligne métro proximité conseillé seulement nuit,1
